Date (MM/DD/YYYY),delay_class,Arrival Time,EWR,IAD,ORD,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,wind_spd,temp,wind_dir,weather,precip,pres,vis,clouds,dewpt,rh,wind_gust_spd
2022-05-13 15:09:00,late,15:09,0,0,0,0,0,0,0,0,0,4.433333333333333,29.23333333333333,200.0,800.6666666666666,0.0,986.2666666666665,16.0,8.333333333333334,14.233333333333334,40.0,7.666666666666667
2022-05-13 20:51:00,on-time,20:51,0,0,1,0,0,0,0,0,0,3.933333333333333,27.03333333333333,140.0,801.0,0.0,983.1333333333333,16.0,16.666666666666668,13.333333333333334,43.0,4.3
2022-05-14 15:09:00,on-time,15:09,0,0,0,0,1,0,0,0,0,6.866666666666667,26.46666666666667,290.0,700.0,0.6666666666666666,981.9666666666667,16.0,0.0,14.633333333333335,48.333333333333336,13.333333333333334
2022-05-14 20:51:00,late,20:51,0,0,1,0,1,0,0,0,0,3.5999999999999996,22.76666666666667,300.0,801.0,0.0,982.1,16.0,16.666666666666668,13.200000000000001,55.0,3.9666666666666663
2022-05-15 15:09:00,on-time,15:09,0,0,0,0,0,1,0,0,0,2.9333333333333336,25.933333333333334,291.6666666666667,800.0,0.08333333333333333,981.4333333333334,16.0,0.0,11.766666666666666,41.333333333333336,5.7
2022-05-15 20:51:00,on-time,20:51,0,0,1,0,0,1,0,0,0,4.3,18.7,273.3333333333333,500.3333333333333,3.6666666666666665,980.9333333333334,16.0,95.66666666666667,9.466666666666667,55.333333333333336,4.766666666666667
2022-05-16 15:09:00,severely late,15:09,0,0,0,1,0,0,0,0,0,8.4,21.866666666666664,313.3333333333333,800.6666666666666,0.0,980.8666666666667,16.0,8.333333333333334,6.533333333333334,37.0,13.0
2022-05-16 20:51:00,on-time,20:51,0,0,1,1,0,0,0,0,0,3.5999999999999996,19.833333333333332,290.0,800.6666666666666,0.0,980.4,16.0,8.333333333333334,5.133333333333334,38.333333333333336,5.7
2022-05-17 15:09:00,on-time,15:09,0,0,0,0,0,0,0,1,0,6.466666666666666,19.8,315.0,800.0,0.0,987.1,16.0,0.0,5.933333333333334,40.333333333333336,10.666666666666666
2022-05-17 20:51:00,early,20:51,0,0,1,0,0,0,0,1,0,5.0,16.7,233.33333333333334,802.0,0.0,986.8000000000001,16.0,37.333333333333336,3.1333333333333333,40.333333333333336,5.633333333333333
2022-05-18 15:09:00,on-time,15:09,0,0,0,0,0,0,0,0,1,2.4333333333333336,15.4,143.33333333333334,500.0,1.6666666666666667,979.0,7.0,100.0,13.766666666666666,90.0,2.6
2022-05-18 20:51:00,on-time,20:51,0,0,1,0,0,0,0,0,1,2.266666666666667,15.933333333333335,221.66666666666666,748.6666666666666,0.16666666666666666,976.9,2.0,100.0,15.333333333333334,96.0,2.433333333333333
2022-05-19 15:09:00,on-time,15:09,0,0,0,0,0,0,1,0,0,5.833333333333333,25.0,226.66666666666666,800.0,0.0,975.3666666666668,16.0,0.0,16.033333333333335,57.666666666666664,10.333333333333334
2022-05-19 20:51:00,severely late,20:51,0,0,1,0,0,0,1,0,0,5.0,24.833333333333332,166.66666666666666,800.0,0.0,972.3666666666668,16.0,0.0,13.166666666666666,48.666666666666664,5.7
2022-05-20 15:09:00,severely late,15:09,0,0,0,0,0,0,0,0,0,12.366666666666667,28.53333333333333,193.33333333333334,800.6666666666666,0.0,970.1666666666666,16.0,8.333333333333334,19.233333333333334,57.333333333333336,17.666666666666668
2022-05-20 20:51:00,on-time,20:51,0,0,1,0,0,0,0,0,0,8.566666666666666,27.933333333333334,216.66666666666666,804.0,0.0,973.1333333333333,16.0,87.0,16.366666666666667,49.333333333333336,13.0
2022-05-21 15:09:00,on-time,15:09,0,0,0,0,1,0,0,0,0,3.966666666666667,17.96666666666667,290.0,802.0,0.08333333333333333,988.0,16.0,37.333333333333336,11.9,67.66666666666667,4.3999999999999995
2022-05-21 20:51:00,severely late,20:51,0,0,1,0,1,0,0,0,0,3.0666666666666664,17.96666666666667,240.0,802.6666666666666,0.16666666666666666,986.0333333333333,16.0,62.333333333333336,12.299999999999999,69.66666666666667,3.3333333333333335
2022-05-22 15:09:00,on-time,15:09,0,0,0,0,0,1,0,0,0,7.699999999999999,15.366666666666667,340.0,800.6666666666666,0.0,994.9333333333334,16.0,8.333333333333334,3.9,46.666666666666664,11.333333333333334
2022-05-22 20:51:00,early,20:51,0,0,1,0,0,1,0,0,0,5.166666666666667,12.800000000000002,353.3333333333333,800.0,0.08333333333333333,996.4,16.0,0.0,0.23333333333333336,42.333333333333336,7.033333333333332
2022-05-23 15:09:00,late,15:09,0,0,0,1,0,0,0,0,0,4.1,17.599999999999998,70.0,801.6666666666666,0.0,994.9333333333334,16.0,25.0,5.533333333333334,45.0,5.733333333333333
2022-05-23 20:51:00,early,20:51,0,0,1,1,0,0,0,0,0,3.766666666666666,14.833333333333334,86.66666666666667,801.3333333333334,0.0,993.7666666666668,16.0,29.0,6.033333333333334,56.333333333333336,4.1000000000000005
2022-05-24 15:09:00,on-time,15:09,0,0,0,0,0,0,0,1,0,3.933333333333333,19.833333333333332,96.66666666666667,800.0,0.0,992.3333333333334,16.0,0.0,7.0,43.333333333333336,8.0
2022-05-24 20:51:00,early,20:51,0,0,1,0,0,0,0,1,0,4.1,19.066666666666666,86.66666666666667,800.0,0.0,990.3333333333334,16.0,0.0,7.033333333333334,45.666666666666664,4.533333333333334
2022-05-25 15:09:00,late,15:09,0,0,0,0,0,0,0,0,1,5.466666666666666,23.366666666666664,140.0,803.6666666666666,0.16666666666666666,984.4,16.0,83.33333333333333,19.166666666666668,77.33333333333333,8.666666666666666
2022-05-25 20:51:00,severely late,20:51,0,0,1,0,0,0,0,0,1,5.3,21.666666666666668,160.0,500.0,2.1666666666666665,981.4333333333334,15.333333333333334,45.666666666666664,18.96666666666667,84.66666666666667,11.666666666666666
2022-05-26 15:09:00,on-time,15:09,0,0,0,0,0,0,1,0,0,5.666666666666667,20.76666666666667,206.66666666666666,500.0,1.0,979.9666666666666,16.0,95.66666666666667,17.9,83.66666666666667,6.5
2022-05-26 20:51:00,late,20:51,0,0,1,0,0,0,1,0,0,3.8000000000000003,20.366666666666667,153.33333333333334,800.0,0.0,978.0,16.0,0.0,16.6,79.0,4.233333333333333
